Country,Ctry,Location,Facility,Frequency,VHFDOC,VHFpwr,TRD Copy,DMEDOC,DMEPwr,Latitude,NS,Longitude,WE,Cat,Remarks,Key,DR,MOD,Ch_date2
BRAZIL,B,PORTO ALEGRE SALGADO FILHO,ILS,110.3,25/62.5,17,,,0,"29D60'00""",S,"051D09'00""",W,ICAO,,940222,R,,2019-12-15
BRAZIL,B,PORTO ALEGRE SALGADO FILHO,VOR/DME,114.5,160/450,27,,160/450,40,"29D59'00""",S,"051D10'00""",W,ICAO,,940223,R,,2019-12-15
BRAZIL,B,PORTO DAS CAXIAS,VOR/DME,114.6,200/450,30,,200/450,30,"22D43'00""",S,"042D51'00""",W,ICAO,RIO DE JANEIRO/TMA,940224,R,,2019-12-15
BRAZIL,B,PORTO NACIONAL,VOR/DME,113.0,200/450,30,,200/450,30,"10D43'00""",S,"048D24'00""",W,ICAO,,940225,R,,2019-12-15
BRAZIL,B,PORTO VELHO,VOR/DME,112.7,200/450,30,,200/450,30,"08D43'00""",S,"063D54'00""",W,ICAO,,940226,R,,2019-12-15
BRAZIL,B,PRESIDENTE PRUDENTE,VOR/DME,113.5,200/450,30,,200/450,30,"22D10'00""",S,"051D25'00""",W,NAT,,940227,R,,2019-12-15
BRAZIL,B,RECIFE GUARARAPES,ILS/DME,110.3,25/62.5,17,,25/100,17,"08D08'00""",S,"034D55'00""",W,ICAO,,940228,R,,2019-12-15
BRAZIL,B,RECIFE GUARARAPES,VOR/DME,116.9,200/450,30,,200/450,30,"08D08'00""",S,"034D56'00""",W,ICAO,,940229,R,,2019-12-15
BRAZIL,B,REDE,VOR/DME,116.7,200/450,30,,200/450,30,"23D54'00""",S,"046D32'00""",W,ICAO,SAO BERNARDO DO CAMPO,940230,R,,2019-12-15
BRAZIL,B,RIBEIRAO PRETO,VOR/DME,115.6,200/450,30,,200/450,30,"21D08'00""",S,"047D46'00""",W,NAT,,940231,R,,2019-12-15
BRAZIL,B,RIO BRANCO,VOR/DME,114.2,200/450,30,,200/450,30,"09D52'00""",S,"067D54'00""",W,ICAO,REUBICADA,940232,R,,2019-12-15
BRAZIL,B,RIO DE JANEIRO INTL.,ILS,109.3,25/62.5,17,,,0,"22D48'00""",S,"043D13'00""",W,ICAO,CAT II,940233,R,,2019-12-15
BRAZIL,B,RIO DE JANEIRO INTL.,ILS/DME,110.3,25/62.5,17,,25/100,17,"22D50'00""",S,"043D14'00""",W,ICAO,,940234,R,,2019-12-15
BRAZIL,B,RIO DE JANEIRO INTL.,ILS/DME,111.5,25/62.5,17,,25/100,17,"22D47'00""",S,"043D13'00""",W,ICAO,,940235,R,,2019-12-15
BRAZIL,B,RIO DE JANEIRO INTL.,VOR/DME,113.0,200/600,30,,200/600,30,"22D46'00""",S,"043D20'00""",W,ICAO,DUQUE DE CAXIAS,940236,R,,2019-12-15
BRAZIL,B,RIO DE JANEIRO SANTOS DUMONT,ILS/DME,111.1,25/62.5,17,,25/100,17,"22D55'00""",S,"043D10'00""",W,ICAO,,940237,R,,2019-12-15
BRAZIL,B,SALVADOR DOIS DE JULHO,VOR/DME,116.5,200/600,30,,200/600,30,"12D54'00""",S,"038D19'00""",W,ICAO,,940238,R,,2019-12-15
BRAZIL,B,SALVADOR INTL,ILS,109.3,25/62.5,17,,,0,"12D54'00""",S,"038D18'00""",W,ICAO,,940239,R,,2019-12-15
BRAZIL,B,SANTA CRUZ RIO DE JANEIRO,VOR/DME,113.6,200/450,30,,200/450,30,"22D57'00""",S,"043D43'00""",W,ICAO,,940240,R,,2019-12-15
BRAZIL,B,SANTA MARIA,VOR/DME,112.0,200/450,30,,200/450,30,"29D43'00""",S,"053D43'00""",W,NAT,,940241,R,,2019-12-15
BRAZIL,B,SANTANA DU PARNAIBA,VOR/DME,114.3,200/450,30,,200/450,30,"23D29'00""",S,"046D55'00""",W,ICAO,SAO PAULO/TMA,940242,R,,2019-12-15
BRAZIL,B,SANTAREM INTL.,VOR/DME,112.3,200/450,30,,200/450,30,"02D27'00""",S,"054D49'00""",W,ICAO,,940243,R,,2019-12-15
BRAZIL,B,SAO GABRIEL DA CACHOEIRA,VOR,115.4,200/450,30,,,0,"00D08'00""",S,"066D59'00""",W,NAT,PROYECTADO,940244,R,,2019-12-15
BRAZIL,B,SAO JOSE DOS CAMPOS,ILS,110.3,25/62.5,17,,,0,"23D14'00""",S,"045D51'00""",W,NAT,,940245,R,,2019-12-15
BRAZIL,B,SAO JOSE DOS CAMPOS,VOR/DME,112.8,200/450,30,,200/450,30,"23D15'00""",S,"045D51'00""",W,NAT,,940246,R,,2019-12-15
